Datetime,Open,High,Low,Close,Adj Close,Volume
2024-07-02 00:00:00+00:00,62844.41015625,62844.41015625,62844.41015625,62844.41015625,62844.41015625,0
2024-07-02 00:02:00+00:00,62897.453125,62897.453125,62897.453125,62897.453125,62897.453125,0
2024-07-02 00:04:00+00:00,62842.62890625,62842.62890625,62842.62890625,62842.62890625,62842.62890625,0
2024-07-02 00:05:00+00:00,62880.51953125,62880.51953125,62880.51953125,62880.51953125,62880.51953125,0
2024-07-02 00:06:00+00:00,62863.09765625,62863.09765625,62863.09765625,62863.09765625,62863.09765625,0
2024-07-02 00:07:00+00:00,62842.7578125,62842.7578125,62842.7578125,62842.7578125,62842.7578125,0
2024-07-02 00:08:00+00:00,62839.921875,62839.921875,62839.921875,62839.921875,62839.921875,0
2024-07-02 00:09:00+00:00,62831.66015625,62831.66015625,62831.66015625,62831.66015625,62831.66015625,0
2024-07-02 00:11:00+00:00,62801.9375,62801.9375,62801.9375,62801.9375,62801.9375,0
2024-07-02 00:12:00+00:00,62826.81640625,62826.81640625,62826.81640625,62826.81640625,62826.81640625,0
2024-07-02 00:13:00+00:00,62793.2109375,62793.2109375,62793.2109375,62793.2109375,62793.2109375,0
2024-07-02 00:14:00+00:00,62811.44140625,62811.44140625,62811.44140625,62811.44140625,62811.44140625,0
2024-07-02 00:15:00+00:00,62796.453125,62796.453125,62796.453125,62796.453125,62796.453125,0
2024-07-02 00:17:00+00:00,62790.9296875,62790.9296875,62790.9296875,62790.9296875,62790.9296875,0
2024-07-02 00:18:00+00:00,62767.69140625,62767.69140625,62767.69140625,62767.69140625,62767.69140625,0
2024-07-02 00:19:00+00:00,62751.875,62751.875,62751.875,62751.875,62751.875,0
2024-07-02 00:20:00+00:00,62764.01171875,62764.01171875,62764.01171875,62764.01171875,62764.01171875,0
2024-07-02 00:21:00+00:00,62822.2109375,62822.2109375,62822.2109375,62822.2109375,62822.2109375,0
2024-07-02 00:23:00+00:00,62825.28515625,62825.28515625,62825.28515625,62825.28515625,62825.28515625,5566464
2024-07-02 00:24:00+00:00,62818.7109375,62818.7109375,62818.7109375,62818.7109375,62818.7109375,0
2024-07-02 00:26:00+00:00,62831.640625,62831.640625,62831.640625,62831.640625,62831.640625,13770752
2024-07-02 00:27:00+00:00,62875.65234375,62875.65234375,62875.65234375,62875.65234375,62875.65234375,0
2024-07-02 00:29:00+00:00,62876.78515625,62876.78515625,62876.78515625,62876.78515625,62876.78515625,9256960
2024-07-02 00:30:00+00:00,62913.23046875,62913.23046875,62913.23046875,62913.23046875,62913.23046875,0
2024-07-02 00:32:00+00:00,62886.7890625,62886.7890625,62886.7890625,62886.7890625,62886.7890625,0
2024-07-02 00:33:00+00:00,62903.70703125,62903.70703125,62903.70703125,62903.70703125,62903.70703125,0
2024-07-02 00:35:00+00:00,62872.50390625,62872.50390625,62872.50390625,62872.50390625,62872.50390625,0
2024-07-02 00:36:00+00:00,62864.16015625,62864.16015625,62864.16015625,62864.16015625,62864.16015625,12535808
2024-07-02 00:37:00+00:00,62857.38671875,62857.38671875,62857.38671875,62857.38671875,62857.38671875,0
2024-07-02 00:38:00+00:00,62849.58984375,62849.58984375,62849.58984375,62849.58984375,62849.58984375,0
2024-07-02 00:39:00+00:00,62845.23046875,62845.23046875,62845.23046875,62845.23046875,62845.23046875,0
2024-07-02 00:42:00+00:00,62866.03515625,62866.03515625,62866.03515625,62866.03515625,62866.03515625,0
2024-07-02 00:43:00+00:00,62856.15625,62856.15625,62856.15625,62856.15625,62856.15625,0
2024-07-02 00:44:00+00:00,62822.1171875,62822.1171875,62822.1171875,62822.1171875,62822.1171875,0
2024-07-02 00:45:00+00:00,62820.484375,62820.484375,62820.484375,62820.484375,62820.484375,0
2024-07-02 00:47:00+00:00,62824.56640625,62824.56640625,62824.56640625,62824.56640625,62824.56640625,0
2024-07-02 00:48:00+00:00,62831.09765625,62831.09765625,62831.09765625,62831.09765625,62831.09765625,0
2024-07-02 00:49:00+00:00,62821.55859375,62821.55859375,62821.55859375,62821.55859375,62821.55859375,0
2024-07-02 00:50:00+00:00,62854.8671875,62854.8671875,62854.8671875,62854.8671875,62854.8671875,12089344
2024-07-02 00:52:00+00:00,62850.41796875,62850.41796875,62850.41796875,62850.41796875,62850.41796875,1894400
2024-07-02 00:53:00+00:00,62846.875,62846.875,62846.875,62846.875,62846.875,0
2024-07-02 00:55:00+00:00,62853.5703125,62853.5703125,62853.5703125,62853.5703125,62853.5703125,0
2024-07-02 00:56:00+00:00,62873.99609375,62873.99609375,62873.99609375,62873.99609375,62873.99609375,0
2024-07-02 00:57:00+00:00,62877.56640625,62877.56640625,62877.56640625,62877.56640625,62877.56640625,0
2024-07-02 00:59:00+00:00,62871.68359375,62871.68359375,62871.68359375,62871.68359375,62871.68359375,0
2024-07-02 01:00:00+00:00,62863.24609375,62863.24609375,62863.24609375,62863.24609375,62863.24609375,0
2024-07-02 01:01:00+00:00,62869.296875,62869.296875,62869.296875,62869.296875,62869.296875,0
2024-07-02 01:02:00+00:00,62872.5390625,62872.5390625,62872.5390625,62872.5390625,62872.5390625,0
2024-07-02 01:04:00+00:00,62857.43359375,62857.43359375,62857.43359375,62857.43359375,62857.43359375,0
2024-07-02 01:05:00+00:00,62843.578125,62843.578125,62843.578125,62843.578125,62843.578125,4644864
2024-07-02 01:06:00+00:00,62836.4609375,62836.4609375,62836.4609375,62836.4609375,62836.4609375,0
2024-07-02 01:08:00+00:00,62812.42578125,62812.42578125,62812.42578125,62812.42578125,62812.42578125,0
2024-07-02 01:09:00+00:00,62813.86328125,62813.86328125,62813.86328125,62813.86328125,62813.86328125,0
2024-07-02 01:11:00+00:00,62823.31640625,62823.31640625,62823.31640625,62823.31640625,62823.31640625,0
2024-07-02 01:12:00+00:00,62824.28515625,62824.28515625,62824.28515625,62824.28515625,62824.28515625,0
2024-07-02 01:13:00+00:00,62813.75,62813.75,62813.75,62813.75,62813.75,0
2024-07-02 01:14:00+00:00,62833.87109375,62833.87109375,62833.87109375,62833.87109375,62833.87109375,0
2024-07-02 01:15:00+00:00,62859.90234375,62859.90234375,62859.90234375,62859.90234375,62859.90234375,0
2024-07-02 01:17:00+00:00,62858.97265625,62858.97265625,62858.97265625,62858.97265625,62858.97265625,0
2024-07-02 01:19:00+00:00,62874.99609375,62874.99609375,62874.99609375,62874.99609375,62874.99609375,0
2024-07-02 01:20:00+00:00,62857.93359375,62857.93359375,62857.93359375,62857.93359375,62857.93359375,0
2024-07-02 01:21:00+00:00,62857.8046875,62857.8046875,62857.8046875,62857.8046875,62857.8046875,0
2024-07-02 01:22:00+00:00,62823.43359375,62823.43359375,62823.43359375,62823.43359375,62823.43359375,0
2024-07-02 01:24:00+00:00,62822.4296875,62822.4296875,62822.4296875,62822.4296875,62822.4296875,0
2024-07-02 01:26:00+00:00,62823.2578125,62823.2578125,62823.2578125,62823.2578125,62823.2578125,0
2024-07-02 01:28:00+00:00,62810.12109375,62810.12109375,62810.12109375,62810.12109375,62810.12109375,0
2024-07-02 01:29:00+00:00,62817.90234375,62817.90234375,62817.90234375,62817.90234375,62817.90234375,0
2024-07-02 01:30:00+00:00,62817.2734375,62817.2734375,62817.2734375,62817.2734375,62817.2734375,0
2024-07-02 01:31:00+00:00,62831.93359375,62831.93359375,62831.93359375,62831.93359375,62831.93359375,0
2024-07-02 01:32:00+00:00,62850.796875,62850.796875,62850.796875,62850.796875,62850.796875,0
2024-07-02 01:33:00+00:00,62861.80078125,62861.80078125,62861.80078125,62861.80078125,62861.80078125,0
2024-07-02 01:34:00+00:00,62829.015625,62829.015625,62829.015625,62829.015625,62829.015625,0
2024-07-02 01:36:00+00:00,62846.21484375,62846.21484375,62846.21484375,62846.21484375,62846.21484375,0
2024-07-02 01:37:00+00:00,62831.11328125,62831.11328125,62831.11328125,62831.11328125,62831.11328125,0
2024-07-02 01:38:00+00:00,62840.578125,62840.578125,62840.578125,62840.578125,62840.578125,0
2024-07-02 01:40:00+00:00,62810.37109375,62810.37109375,62810.37109375,62810.37109375,62810.37109375,0
2024-07-02 01:41:00+00:00,62779.703125,62779.703125,62779.703125,62779.703125,62779.703125,0
2024-07-02 01:42:00+00:00,62783.7109375,62783.7109375,62783.7109375,62783.7109375,62783.7109375,0
2024-07-02 01:43:00+00:00,62763.2109375,62763.2109375,62763.2109375,62763.2109375,62763.2109375,0
2024-07-02 01:44:00+00:00,62785.4921875,62785.4921875,62785.4921875,62785.4921875,62785.4921875,0
2024-07-02 01:45:00+00:00,62795.19921875,62795.19921875,62795.19921875,62795.19921875,62795.19921875,0
2024-07-02 01:47:00+00:00,62821.28515625,62821.28515625,62821.28515625,62821.28515625,62821.28515625,0
2024-07-02 01:48:00+00:00,62847.74609375,62847.74609375,62847.74609375,62847.74609375,62847.74609375,0
